"Label (Grouping)","Alameda County, California!!Estimate","Alpine County, California!!Estimate","Amador County, California!!Estimate","Butte County, California!!Estimate","Calaveras County, California!!Estimate","Colusa County, California!!Estimate","Contra Costa County, California!!Estimate","Del Norte County, California!!Estimate","El Dorado County, California!!Estimate","Fresno County, California!!Estimate","Glenn County, California!!Estimate","Humboldt County, California!!Estimate","Imperial County, California!!Estimate","Inyo County, California!!Estimate","Kern County, California!!Estimate","Kings County, California!!Estimate","Lake County, California!!Estimate","Lassen County, California!!Estimate","Los Angeles County, California!!Estimate","Madera County, California!!Estimate","Marin County, California!!Estimate","Mariposa County, California!!Estimate","Mendocino County, California!!Estimate","Merced County, California!!Estimate","Modoc County, California!!Estimate","Mono County, California!!Estimate","Monterey County, California!!Estimate","Napa County, California!!Estimate","Nevada County, California!!Estimate","Orange County, California!!Estimate","Placer County, California!!Estimate","Plumas County, California!!Estimate","Riverside County, California!!Estimate","Sacramento County, California!!Estimate","San Benito County, California!!Estimate","San Bernardino County, California!!Estimate","San Diego County, California!!Estimate","San Francisco County, California!!Estimate","San Joaquin County, California!!Estimate","San Luis Obispo County, California!!Estimate","San Mateo County, California!!Estimate","Santa Barbara County, California!!Estimate","Santa Clara County, California!!Estimate","Santa Cruz County, California!!Estimate","Shasta County, California!!Estimate","Sierra County, California!!Estimate","Siskiyou County, California!!Estimate","Solano County, California!!Estimate","Sonoma County, California!!Estimate","Stanislaus County, California!!Estimate","Sutter County, California!!Estimate","Tehama County, California!!Estimate","Trinity County, California!!Estimate","Tulare County, California!!Estimate","Tuolumne County, California!!Estimate","Ventura County, California!!Estimate","Yolo County, California!!Estimate","Yuba County, California!!Estimate","Allegany County, Maryland!!Estimate","Anne Arundel County, Maryland!!Estimate"
"        High school graduate (includes equivalency)","95,565","131","5,409","15,255","6,268","2,189","74,535","3,177","15,326","79,775","2,889","11,502","16,388","2,124","85,106","17,084","7,866","4,333","718,708","12,500","11,107","1,602","10,432","27,345","943","1,365","31,141","9,156","8,129","190,387","27,054","2,274","226,417","124,784","6,950","209,758","209,521","40,669","74,393","18,135","41,849","24,476","90,207","14,943","18,715","237","4,699","40,337","35,625","54,838","8,292","7,574","2,211","42,215","5,777","57,618","11,725","8,778","11,329","47,163"
"        Some college, less than 1 year","25,345","61","2,103","5,337","1,248","347","20,946","950","4,909","20,562","669","3,384","3,241","659","20,180","3,494","2,230","1,467","167,913","3,459","4,391","529","2,780","5,960","344","415","6,485","3,139","3,018","57,814","9,578","589","58,251","38,767","1,309","49,533","71,077","11,721","19,376","6,858","13,234","7,607","25,280","5,373","5,841","137","1,555","12,502","11,758","12,054","2,827","2,011","297","9,260","2,227","17,963","3,588","2,633","1,676","12,109"
"        Some college, 1 or more years, no degree","63,167","57","2,927","11,175","3,060","1,020","52,165","1,954","11,894","48,988","1,544","9,152","8,874","1,125","42,855","8,530","4,451","1,776","438,449","7,457","9,376","1,360","5,034","10,584","436","1,155","16,828","5,720","6,314","139,542","22,700","1,635","127,694","80,265","3,761","104,626","160,475","31,961","34,920","16,160","28,400","19,158","62,020","13,835","11,743","232","2,983","27,702","27,528","26,172","4,989","3,568","970","20,554","5,014","39,792","9,312","4,337","2,665","26,426"
"        Associate's degree","33,491","80","1,644","6,911","1,692","600","28,000","649","6,822","23,956","620","4,017","4,014","386","18,190","4,302","2,824","1,202","216,917","3,554","5,062","697","2,237","5,027","181","548","9,624","3,774","2,891","73,664","14,732","870","64,340","45,627","1,909","53,656","88,035","17,450","20,614","8,332","15,964","10,476","38,236","6,678","6,793","138","1,502","15,315","13,343","11,560","3,092","2,023","655","10,918","1,750","24,304","4,083","2,786","1,728","12,302"
"        Bachelor's degree","163,798","151","2,348","13,700","2,530","785","104,324","1,334","17,887","46,648","985","9,212","5,787","1,328","31,233","4,310","2,420","820","761,177","4,838","29,276","1,100","4,184","8,780","587","918","21,590","11,534","10,906","302,512","39,500","1,140","129,161","113,103","3,342","99,261","292,397","119,937","35,381","22,550","75,107","29,489","187,566","21,652","9,332","108","2,479","27,372","38,395","21,280","4,434","2,803","621","14,195","3,467","62,631","13,517","2,968","2,960","49,410"
"        Master's degree","93,974","42","831","3,879","743","112","46,887","452","6,526","15,887","134","2,708","1,471","487","11,399","1,440","729","197","266,668","1,806","14,400","618","1,673","2,297","92","257","9,858","4,162","3,538","118,810","15,238","454","49,012","39,904","940","36,470","124,153","54,929","10,466","8,004","38,845","11,872","146,880","9,429","2,922","109","821","8,279","14,339","7,115","1,125","514","243","4,735","1,020","24,679","6,511","925","1,104","29,333"
"        Professional school degree","18,514","10","113","1,643","189","99","13,729","265","2,163","5,462","69","976","683","59","3,599","243","302","75","99,366","473","7,577","68","885","868","28","163","3,102","1,951","1,246","37,739","5,406","28","14,211","15,407","303","9,240","33,956","16,831","3,832","3,182","10,812","4,512","18,238","2,701","1,314","11","259","2,572","5,818","2,632","477","276","191","1,474","246","8,222","3,045","223","353","5,791"
"        Doctorate degree","26,016","24","159","1,219","228","0","10,805","32","1,255","3,377","17","719","187","165","2,030","306","122","24","56,550","368","3,347","95","335","403","24","65","2,728","668","568","23,762","2,300","55","9,165","7,410","199","6,951","35,279","13,845","2,081","2,449","15,301","4,245","44,726","2,915","422","0","133","2,028","2,682","1,102","253","47","144","752","59","5,796","4,101","251","275","4,798"
"    Female:","606,652","532","14,871","68,665","18,165","6,869","421,035","9,155","71,979","320,837","9,081","47,193","54,394","6,855","278,507","41,651","24,675","8,152","3,533,612","52,784","97,737","6,576","33,029","86,713","3,156","4,777","137,941","49,228","40,736","1,132,505","154,123","7,637","829,718","566,370","22,033","722,089","1,145,181","320,339","260,339","95,970","275,690","139,704","663,802","90,334","66,586","1,045","16,349","160,719","182,509","179,947","33,197","22,691","6,482","145,387","20,231","294,743","67,194","26,890","22,735","212,841"
"        No schooling completed","20,554","0","109","1,308","99","349","10,812","49","670","15,832","365","589","2,988","24","10,773","1,267","421","141","169,284","2,963","2,156","39","818","4,669","42","48","5,655","1,769","401","40,338","1,875","45","26,557","20,977","575","24,565","33,811","13,991","12,425","1,360","7,984","5,411","22,056","1,728","1,009","0","172","4,995","4,254","7,123","1,945","339","0","7,755","137","8,758","1,654","1,234","135","3,073"
"        Nursery to 4th grade","5,273","0","35","224","0","209","2,923","40","164","6,371","221","120","1,275","1","4,573","1,108","259","28","65,630","1,161","420","4","281","1,962","20","93","3,755","610","96","10,363","471","102","12,253","3,184","507","7,964","9,736","3,203","3,447","328","2,200","2,386","5,712","1,091","109","0","64","1,199","1,153","2,492","307","309","0","4,011","58","4,075","550","233","4","219"
"        5th and 6th grade","10,827","0","37","368","3","388","6,584","103","152","9,348","346","215","2,911","16","13,452","2,240","178","144","131,472","2,355","774","3","690","4,400","0","166","9,813","1,399","188","23,260","573","0","23,738","7,182","741","18,433","20,361","5,459","6,972","959","4,073","5,766","11,258","2,545","126","23","117","1,894","3,364","6,039","653","431","0","6,855","18","9,442","895","272","56","531"
"        7th and 8th grade","4,522","0","19","329","186","120","2,411","116","246","5,127","81","240","1,611","103","5,800","716","149","24","53,277","910","545","50","222","2,429","33","0","2,688","435","55","11,843","441","91","9,346","4,406","419","8,793","10,077","3,105","4,911","520","1,764","1,624","6,562","605","475","0","79","1,700","1,496","3,190","872","314","7","3,506","37","2,506","676","244","171","909"
